Configuration,Agent Role,Average Reward,Total Wins,Total Draws,Total Losses,Average Time (ms),S,R,D_mcts,D_minimax,agent_1_type,agent_2_type,matchup,Total Games
"MCTS(S=50,R=1,D=3) vs MiniMax(D=2)",X,-0.02,12,25,13,33.41683252652486,50,1,3,2,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=50,R=1,D=3) vs MiniMax(D=2)",O,0.02,13,25,12,13.736326694488522,50,1,3,2,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=50,R=1,D=3) vs MiniMax(D=3)",X,-0.08,16,14,20,33.46860281626384,50,1,3,3,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=50,R=1,D=3) vs MiniMax(D=3)",O,0.08,20,14,16,66.89497470855713,50,1,3,3,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=50,R=2,D=1) vs MiniMax(D=1)",X,1.0,50,0,0,68.57723991076153,50,2,1,1,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=50,R=2,D=1) vs MiniMax(D=1)",O,-1.0,0,0,50,3.312586943308512,50,2,1,1,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=50,R=2,D=1) vs MiniMax(D=2)",X,-0.3,0,35,15,59.76801490783691,50,2,1,2,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=50,R=2,D=1) vs MiniMax(D=2)",O,0.3,15,35,0,12.725799083709717,50,2,1,2,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=50,R=2,D=1) vs MiniMax(D=3)",X,-0.74,4,5,41,66.51132980982463,50,2,1,3,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=50,R=2,D=1) vs MiniMax(D=3)",O,0.74,41,5,4,68.53525479634602,50,2,1,3,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=50,R=2,D=2) vs MiniMax(D=1)",X,1.0,50,0,0,66.40374978383382,50,2,2,1,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=50,R=2,D=2) vs MiniMax(D=1)",O,-1.0,0,0,50,3.242774804433187,50,2,2,1,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=50,R=2,D=2) vs MiniMax(D=2)",X,-0.16,1,40,9,55.01654958724976,50,2,2,2,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=50,R=2,D=2) vs MiniMax(D=2)",O,0.16,9,40,1,13.050352732340492,50,2,2,2,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=50,R=2,D=2) vs MiniMax(D=3)",X,-0.44,8,12,30,59.93696586290995,50,2,2,3,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=50,R=2,D=2) vs MiniMax(D=3)",O,0.44,30,12,8,64.49126203854878,50,2,2,3,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=50,R=2,D=3) vs MiniMax(D=1)",X,1.0,50,0,0,62.50731269518533,50,2,3,1,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=50,R=2,D=3) vs MiniMax(D=1)",O,-1.0,0,0,50,3.305752277374268,50,2,3,1,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=50,R=2,D=3) vs MiniMax(D=2)",X,-0.3,6,23,21,53.86942386627197,50,2,3,2,MCTS,MiniMax,MCTS vs MiniMax,50
