Configuration,Agent Role,Average Reward,Total Wins,Total Draws,Total Losses,Average Time (ms),S,R,D_mcts,D_minimax,agent_1_type,agent_2_type,matchup,Total Games
"MCTS(S=50,R=2,D=2) vs MCTS(S=70,R=3,D=3)",Black,0.0,0,10,0,208.4095255533854,50,2,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=50,R=2,D=2) vs MCTS(S=70,R=3,D=3)",White,0.0,0,10,0,464.3850946426391,50,2,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=50,R=2,D=3) vs MCTS(S=50,R=2,D=3)",Black,0.0,0,10,0,227.9272492726644,50,2,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=50,R=2,D=3) vs MCTS(S=50,R=2,D=3)",White,0.0,0,10,0,232.40792592366537,50,2,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=50,R=2,D=3) vs MCTS(S=50,R=3,D=2)",Black,0.0,0,10,0,268.86723200480145,50,2,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=50,R=2,D=3) vs MCTS(S=50,R=3,D=2)",White,0.0,0,10,0,278.8364283243816,50,2,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=50,R=2,D=3) vs MCTS(S=50,R=3,D=3)",Black,0.0,0,10,0,251.9447231292725,50,2,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=50,R=2,D=3) vs MCTS(S=50,R=3,D=3)",White,0.0,0,10,0,338.9001735051473,50,2,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=50,R=2,D=3) vs MCTS(S=70,R=2,D=2)",Black,0.0,0,10,0,274.6072562535604,50,2,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=50,R=2,D=3) vs MCTS(S=70,R=2,D=2)",White,0.0,0,10,0,305.2769486109416,50,2,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=50,R=2,D=3) vs MCTS(S=70,R=2,D=3)",Black,0.0,0,10,0,266.893884340922,50,2,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=50,R=2,D=3) vs MCTS(S=70,R=2,D=3)",White,0.0,0,10,0,390.4228417078654,50,2,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=50,R=2,D=3) vs MCTS(S=70,R=3,D=2)",Black,0.0,0,10,0,238.2190561294556,50,2,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=50,R=2,D=3) vs MCTS(S=70,R=3,D=2)",White,0.0,0,10,0,346.73265139261883,50,2,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=50,R=2,D=3) vs MCTS(S=70,R=3,D=3)",Black,0.0,0,10,0,232.14186191558832,50,2,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=50,R=2,D=3) vs MCTS(S=70,R=3,D=3)",White,0.0,0,10,0,458.2607730229696,50,2,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=50,R=3,D=2) vs MCTS(S=50,R=3,D=2)",Black,0.0,0,10,0,281.82250976562494,50,3,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=50,R=3,D=2) vs MCTS(S=50,R=3,D=2)",White,0.0,0,10,0,265.2808539072672,50,3,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=50,R=3,D=2) vs MCTS(S=50,R=3,D=3)",Black,0.0,0,10,0,263.3915122350057,50,3,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=50,R=3,D=2) vs MCTS(S=50,R=3,D=3)",White,0.0,0,10,0,328.63989830017096,50,3,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=50,R=3,D=2) vs MCTS(S=70,R=2,D=2)",Black,0.0,0,10,0,253.58317216237387,50,3,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=50,R=3,D=2) vs MCTS(S=70,R=2,D=2)",White,0.0,0,10,0,252.01238473256427,50,3,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=50,R=3,D=2) vs MCTS(S=70,R=2,D=3)",Black,0.0,0,10,0,246.1829837163289,50,3,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=50,R=3,D=2) vs MCTS(S=70,R=2,D=3)",White,0.0,0,10,0,313.39893658955896,50,3,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=50,R=3,D=2) vs MCTS(S=70,R=3,D=2)",Black,0.0,0,10,0,259.6770620346069,50,3,2,0,MCTS,MCTS,MCTS vs MCTS,10
