Configuration,Agent Role,Average Reward,Total Wins,Total Draws,Total Losses,Average Time (ms)
"MCTS(S=30,R=2,D=3) vs MiniMax(D=1)",X,1.0,50,0,0,41.91120624542236
"MCTS(S=30,R=2,D=3) vs MiniMax(D=1)",O,-1.0,0,0,50,3.749031225840251
"MCTS(S=30,R=2,D=3) vs MiniMax(D=2)",X,0.04,10,32,8,33.364494005839035
"MCTS(S=30,R=2,D=3) vs MiniMax(D=2)",O,-0.04,8,32,10,13.16120425860087
"MCTS(S=30,R=2,D=3) vs MiniMax(D=3)",X,-0.02,18,13,19,33.79672114054362
"MCTS(S=30,R=2,D=3) vs MiniMax(D=3)",O,0.02,19,13,18,68.67731769879659
"MCTS(S=30,R=3,D=1) vs MiniMax(D=1)",X,1.0,50,0,0,56.11151576042175
"MCTS(S=30,R=3,D=1) vs MiniMax(D=1)",O,-1.0,0,0,50,3.033560911814371
"MCTS(S=30,R=3,D=1) vs MiniMax(D=2)",X,-0.76,0,12,38,53.99623394012451
"MCTS(S=30,R=3,D=1) vs MiniMax(D=2)",O,0.76,38,12,0,12.494739294052124
"MCTS(S=30,R=3,D=1) vs MiniMax(D=3)",X,-0.96,0,2,48,56.45103208223979
"MCTS(S=30,R=3,D=1) vs MiniMax(D=3)",O,0.96,48,2,0,64.58239277203877
"MCTS(S=30,R=3,D=2) vs MiniMax(D=1)",X,1.0,50,0,0,54.58625348409018
"MCTS(S=30,R=3,D=2) vs MiniMax(D=1)",O,-1.0,0,0,50,2.857485214869181
"MCTS(S=30,R=3,D=2) vs MiniMax(D=2)",X,-0.08,1,44,5,49.20776176452637
"MCTS(S=30,R=3,D=2) vs MiniMax(D=2)",O,0.08,5,44,1,12.656563123067219
"MCTS(S=30,R=3,D=2) vs MiniMax(D=3)",X,-0.46,9,9,32,52.96122066179911
"MCTS(S=30,R=3,D=2) vs MiniMax(D=3)",O,0.46,32,9,9,68.08590372403462
"MCTS(S=30,R=3,D=3) vs MiniMax(D=1)",X,1.0,50,0,0,51.92226886749268
